"","districts_included","cluster","map","value"
"104",106,"Mecklenburg","D_voteshare_amended",0.797
"105",107,"Mecklenburg","D_voteshare_amended",0.733
"106",108,"Cleveland-Gaston","D_voteshare_amended",0.379
"107",109,"Cleveland-Gaston","D_voteshare_amended",0.373
"108",110,"Cleveland-Gaston","D_voteshare_amended",0.309
"109",111,"Cleveland-Gaston","D_voteshare_amended",0.388
"110",114,"Buncombe","D_voteshare_amended",0.561
"111",115,"Buncombe","D_voteshare_amended",0.581
"112",116,"Buncombe","D_voteshare_amended",0.569
"113",4,"Duplin-Onslow","R_voteshare_amended",0.635
"114",7,"Franklin-Nash","R_voteshare_amended",0.575
"115",8,"Lenoir-Pitt","R_voteshare_amended",0.388
"116",9,"Lenoir-Pitt","R_voteshare_amended",0.497
"117",12,"Lenoir-Pitt","R_voteshare_amended",0.528
"118",14,"Duplin-Onslow","R_voteshare_amended",0.621
"119",15,"Duplin-Onslow","R_voteshare_amended",0.682
"120",16,"Columbus-Pender-Robeson","R_voteshare_amended",0.619
"121",17,"Brunswick-New Hanover","R_voteshare_amended",0.635
"122",18,"Brunswick-New Hanover","R_voteshare_amended",0.435
"123",19,"Brunswick-New Hanover","R_voteshare_amended",0.599
"124",20,"Brunswick-New Hanover","R_voteshare_amended",0.579
"125",25,"Franklin-Nash","R_voteshare_amended",0.469
"126",42,"Cumberland","R_voteshare_amended",0.357
"127",43,"Cumberland","R_voteshare_amended",0.507
"128",44,"Cumberland","R_voteshare_amended",0.3
"129",45,"Cumberland","R_voteshare_amended",0.51
"130",46,"Columbus-Pender-Robeson","R_voteshare_amended",0.567
"131",47,"Columbus-Pender-Robeson","R_voteshare_amended",0.523
"132",55,"Anson-Union","R_voteshare_amended",0.558
"133",58,"Guildford","R_voteshare_amended",0.279
"134",59,"Guildford","R_voteshare_amended",0.544
"135",60,"Guildford","R_voteshare_amended",0.376
"136",63,"Alamance","R_voteshare_amended",0.508
"137",64,"Alamance","R_voteshare_amended",0.599
"138",67,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_amended",0.764
"139",68,"Anson-Union","R_voteshare_amended",0.645
"140",69,"Anson-Union","R_voteshare_amended",0.645
"141",71,"Forsyth-Yadkin","R_voteshare_amended",0.295
"142",72,"Forsyth-Yadkin","R_voteshare_amended",0.296
"143",73,"Forsyth-Yadkin","R_voteshare_amended",0.643
"144",74,"Forsyth-Yadkin","R_voteshare_amended",0.545
"145",75,"Forsyth-Yadkin","R_voteshare_amended",0.624
"146",76,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_amended",0.585
"147",77,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_amended",0.74
"148",82,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_amended",0.557
"149",83,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_amended",0.582
"150",88,"Mecklenburg","R_voteshare_amended",0.362
"151",92,"Mecklenburg","R_voteshare_amended",0.296
"152",98,"Mecklenburg","R_voteshare_amended",0.542
