"","districts_included","cluster","map","value"
"440",106,"Mecklenburg","D_voteshare_pred_2018",0.739
"441",107,"Mecklenburg","D_voteshare_pred_2018",0.752
"442",108,"Cleveland-Gaston","D_voteshare_pred_2018",0.384
"443",109,"Cleveland-Gaston","D_voteshare_pred_2018",0.403
"444",110,"Cleveland-Gaston","D_voteshare_pred_2018",0.337
"445",111,"Cleveland-Gaston","D_voteshare_pred_2018",0.325
"446",114,"Buncombe","D_voteshare_pred_2018",0.737
"447",115,"Buncombe","D_voteshare_pred_2018",0.489
"448",116,"Buncombe","D_voteshare_pred_2018",0.453
"449",4,"Duplin-Onslow","R_voteshare_pred_2018",0.64
"450",7,"Franklin-Nash","R_voteshare_pred_2018",0.578
"451",8,"Lenoir-Pitt","R_voteshare_pred_2018",0.345
"452",9,"Lenoir-Pitt","R_voteshare_pred_2018",0.558
"453",12,"Lenoir-Pitt","R_voteshare_pred_2018",0.521
"454",14,"Duplin-Onslow","R_voteshare_pred_2018",0.621
"455",15,"Duplin-Onslow","R_voteshare_pred_2018",0.676
"456",16,"Columbus-Pender-Robeson","R_voteshare_pred_2018",0.608
"457",17,"Brunswick-New Hanover","R_voteshare_pred_2018",0.657
"458",18,"Brunswick-New Hanover","R_voteshare_pred_2018",0.423
"459",19,"Brunswick-New Hanover","R_voteshare_pred_2018",0.577
"460",20,"Brunswick-New Hanover","R_voteshare_pred_2018",0.575
"461",25,"Franklin-Nash","R_voteshare_pred_2018",0.462
"462",42,"Cumberland","R_voteshare_pred_2018",0.29
"463",43,"Cumberland","R_voteshare_pred_2018",0.305
"464",44,"Cumberland","R_voteshare_pred_2018",0.465
"465",45,"Cumberland","R_voteshare_pred_2018",0.585
"466",46,"Columbus-Pender-Robeson","R_voteshare_pred_2018",0.624
"467",47,"Columbus-Pender-Robeson","R_voteshare_pred_2018",0.467
"468",55,"Anson-Union","R_voteshare_pred_2018",0.634
"469",58,"Guildford","R_voteshare_pred_2018",0.272
"470",59,"Guildford","R_voteshare_pred_2018",0.589
"471",60,"Guildford","R_voteshare_pred_2018",0.326
"472",63,"Alamance","R_voteshare_pred_2018",0.543
"473",64,"Alamance","R_voteshare_pred_2018",0.568
"474",67,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_pred_2018",0.731
"475",68,"Anson-Union","R_voteshare_pred_2018",0.601
"476",69,"Anson-Union","R_voteshare_pred_2018",0.62
"477",71,"Forsyth-Yadkin","R_voteshare_pred_2018",0.3
"478",72,"Forsyth-Yadkin","R_voteshare_pred_2018",0.24
"479",73,"Forsyth-Yadkin","R_voteshare_pred_2018",0.663
"480",74,"Forsyth-Yadkin","R_voteshare_pred_2018",0.577
"481",75,"Forsyth-Yadkin","R_voteshare_pred_2018",0.563
"482",76,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_pred_2018",0.619
"483",77,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_pred_2018",0.721
"484",82,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_pred_2018",0.573
"485",83,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","R_voteshare_pred_2018",0.581
"486",88,"Mecklenburg","R_voteshare_pred_2018",0.278
"487",92,"Mecklenburg","R_voteshare_pred_2018",0.337
"488",98,"Mecklenburg","R_voteshare_pred_2018",0.542
"489",99,"Mecklenburg","R_voteshare_pred_2018",0.228
"490",100,"Mecklenburg","R_voteshare_pred_2018",0.327
"491",101,"Mecklenburg","R_voteshare_pred_2018",0.258
"492",102,"Mecklenburg","R_voteshare_pred_2018",0.205
"493",103,"Mecklenburg","R_voteshare_pred_2018",0.544
"494",104,"Mecklenburg","R_voteshare_pred_2018",0.472
"495",105,"Mecklenburg","R_voteshare_pred_2018",0.501
"496",106,"Mecklenburg","R_voteshare_pred_2018",0.261
"497",107,"Mecklenburg","R_voteshare_pred_2018",0.248
"498",108,"Cleveland-Gaston","R_voteshare_pred_2018",0.616
"499",109,"Cleveland-Gaston","R_voteshare_pred_2018",0.597
"500",110,"Cleveland-Gaston","R_voteshare_pred_2018",0.663
"501",111,"Cleveland-Gaston","R_voteshare_pred_2018",0.675
"502",114,"Buncombe","R_voteshare_pred_2018",0.263
"503",115,"Buncombe","R_voteshare_pred_2018",0.511
"504",116,"Buncombe","R_voteshare_pred_2018",0.547
